iter	TotalF1:average=Micro	MultiClass
564	0.9990379065	0.1424058595
565	0.9990379065	0.1421750487
566	0.9992303252	0.1418768843
567	0.9990379065	0.1415247665
568	0.9990379065	0.1413733706
569	0.9992303252	0.1410621583
570	0.9992303252	0.1406629811
571	0.9992303252	0.1403882113
572	0.9994227439	0.1402839923
573	0.9992303252	0.1399704664
574	0.9994227439	0.139532345
575	0.9994227439	0.1393267727
576	0.9994227439	0.1389127977
577	0.9994227439	0.1386464133
578	0.9994227439	0.1381852145
579	0.9994227439	0.1380267485
580	0.9994227439	0.1376197966
581	0.9994227439	0.1373246857
582	0.9994227439	0.1370142837
583	0.9994227439	0.1366608036
584	0.9994227439	0.1364900414
585	0.9994227439	0.1362466407
586	0.9994227439	0.1359885126
587	0.9994227439	0.1356113912
588	0.9994227439	0.1353505384
589	0.9994227439	0.1351558883
590	0.9994227439	0.1348366076
591	0.9994227439	0.134716111
592	0.9994227439	0.1345148371
593	0.9994227439	0.1343720851
594	0.9994227439	0.1341006154
595	0.9994227439	0.1338830874
596	0.9994227439	0.1336457233
597	0.9994227439	0.1334732346
598	0.9996151626	0.1330818439
599	0.9996151626	0.1328086126
600	0.9996151626	0.1325283113
601	0.9996151626	0.1323099494
602	0.9996151626	0.1320686392
603	0.9996151626	0.131735876
604	0.9996151626	0.1313804111
605	0.9996151626	0.1309743635
606	0.9996151626	0.1307288723
607	0.9996151626	0.1303911883
608	0.9996151626	0.1300326229
609	0.9996151626	0.1298670634
610	0.9996151626	0.129548229
611	0.9996151626	0.1292737528
612	0.9996151626	0.1289759642
613	0.9996151626	0.1287841914
614	0.9996151626	0.1285809562
615	0.9996151626	0.1284146451
616	0.9996151626	0.1281868643
617	0.9996151626	0.1279463996
618	0.9996151626	0.1278424625
619	0.9996151626	0.1275971357
620	0.9996151626	0.1272580072
621	0.9998075813	0.127000114
622	0.9998075813	0.1267929092
623	0.9998075813	0.1265691449
624	0.9998075813	0.1263026549
625	0.9998075813	0.1261007938
626	0.9998075813	0.1257188455
627	0.9998075813	0.1255128973
628	0.9998075813	0.1252577053
629	0.9998075813	0.1249252945
630	0.9998075813	0.124613812
631	0.9998075813	0.1242859697
632	0.9998075813	0.1241204924
633	0.9998075813	0.1239502235
634	0.9998075813	0.1236875269
635	0.9998075813	0.1234792886
636	0.9998075813	0.1232370505
637	0.9998075813	0.1231023668
638	0.9998075813	0.1228569226
639	0.9998075813	0.1227202424
640	0.9998075813	0.1224835594
641	0.9998075813	0.1221950723
642	0.9998075813	0.1219960415
643	0.9998075813	0.1217936754
644	0.9998075813	0.1215998356
645	0.9998075813	0.121435568
646	0.9998075813	0.1212554926
647	0.9998075813	0.1209332053
648	0.9998075813	0.1206922474
649	0.9998075813	0.1205082611
650	0.9998075813	0.1202644611
651	0.9998075813	0.1200163744
652	0.9998075813	0.1198250949
653	0.9998075813	0.1195753287
654	0.9998075813	0.1194066335
655	0.9998075813	0.1191464032
656	0.9998075813	0.1188915048
657	0.9998075813	0.1186380979
658	0.9998075813	0.1183770102
659	0.9998075813	0.1181784375
660	0.9998075813	0.1180879124
661	0.9998075813	0.1179243025
662	0.9998075813	0.1176846012
663	1	0.1174021742
664	1	0.1172005127
665	1	0.1170100201
666	1	0.1166464516
667	1	0.1164814911
668	1	0.1162854081
669	1	0.1160400931
670	1	0.1159420634
671	1	0.1157854296
672	1	0.1154857031
673	1	0.1152913819
674	1	0.1149869107
675	1	0.1148338942
676	1	0.1145928188
677	1	0.1143241091
678	1	0.1141605814
679	1	0.113982385
680	1	0.1136338141
681	1	0.1134294984
682	1	0.1133037991
683	1	0.1130018177
684	1	0.1127730034
685	1	0.1126321775
686	1	0.1124800535
687	1	0.1122796369
688	1	0.1121060091
689	1	0.112038174
690	1	0.1117752072
691	1	0.1115809094
692	1	0.1114309581
693	1	0.111242556
694	1	0.1110259558
695	1	0.1108985888
696	1	0.110737316
697	1	0.1106285285
698	1	0.1104140422
699	1	0.110164417
700	1	0.1099287323
701	1	0.1096783319
702	1	0.109470352
703	1	0.1093142585
704	1	0.109019171
705	1	0.1088761959
706	1	0.1087222515
707	1	0.1085941211
708	1	0.1084127538
709	1	0.1082239993
710	1	0.1080387212
711	1	0.1077918911
712	1	0.1076675894
713	1	0.107529535
714	1	0.107385726
715	1	0.1071284905
